generation;best;worst;avarage
1;1532;-8998;-3627
2;4295;-10712;-3972
3;4562;-11491;-4219
4;4562;-9614;-3831
5;4347;-7401;-2985
6;5167;-9031;-2716
7;5104;-7538;-2724
8;3455;-7326;-2643
9;3875;-7239;-2764
10;2973;-7755;-2458
11;4033;-6226;-2458
12;3110;-6416;-1926
13;4046;-6638;-1974
14;4561;-7872;-2151
15;2278;-7507;-2648
16;1822;-7645;-2889
17;3747;-6990;-2559
18;3182;-6967;-2376
19;3365;-6224;-2569
20;2688;-6574;-2618
21;3049;-6315;-2602
22;2736;-9025;-2452
23;364;-6774;-2882
24;1792;-9067;-2769
25;2916;-9691;-3307
26;701;-9503;-3843
27;1908;-10697;-4296
28;1868;-9739;-4454
29;1214;-10221;-4341
30;369;-11126;-4317
31;1718;-10267;-4039
32;171;-11429;-4298
33;1131;-9788;-4117
34;1187;-10104;-4353
35;1531;-9317;-3810
36;1569;-8689;-3943
37;2021;-9781;-3809
38;721;-11487;-3754
39;1038;-9544;-3854
40;1217;-9660;-3509
41;1231;-10005;-3957
42;420;-9994;-4330
43;1645;-10022;-3919
44;1035;-11362;-3864
45;3909;-11090;-3724
46;3123;-8685;-3387
47;874;-8701;-3511
48;1040;-9308;-3467
49;2178;-9308;-3761
50;722;-9587;-4041
51;0;-9873;-4126
52;2339;-8109;-3354
53;2428;-9068;-3375
54;1867;-7097;-3082
55;601;-8154;-3290
56;963;-9302;-3376
57;957;-9221;-3397
58;1263;-7972;-3189
59;204;-9432;-3562
60;-499;-10901;-3568
61;283;-8382;-3833
62;967;-10017;-3586
63;798;-7504;-3608
64;443;-8338;-3411
65;443;-7589;-3726
66;692;-10337;-3745
67;2693;-10681;-3696
68;2693;-9761;-3390
69;1891;-10041;-3122
70;1522;-11367;-2586
71;3977;-10489;-2604
72;2889;-7680;-2153
73;3926;-8991;-2712
74;4430;-7594;-2174
75;2992;-7726;-2537
76;2881;-9498;-2173
77;1957;-6877;-2032
78;3287;-9649;-2537
79;2377;-8488;-2278
80;4116;-8707;-1669
81;3906;-9505;-1792
82;6408;-8544;-1339
83;3120;-8232;-1372
84;2785;-7651;-1244
85;3321;-6549;-798
86;3321;-6170;-1166
87;3283;-6767;-1191
88;2843;-8654;-1295
89;2789;-7432;-701
90;5147;-9408;-704
91;5147;-5495;-856
92;4643;-5865;-844
93;4291;-6656;-992
94;6476;-6502;-712
95;3753;-6359;-790
96;4017;-7803;-1307
97;4164;-8880;-1489
98;4361;-9019;-1457
99;4361;-7476;-1781
100;4419;-7327;-1454
