generation;best;worst;avarage
1;2031578;1795929;1897209
2;2066080;1918679;1975248
3;2088433;1895764;2012011
4;2106996;2054168;2078409
5;2113811;2083307;2100215
6;2120213;2095340;2109372
7;2122441;2101769;2118238
8;2131649;2100586;2120345
9;2133878;2104851;2123452
10;2140707;2127150;2133564
11;2143195;2118821;2136773
12;2146236;2128213;2142104
13;2152964;2127419;2145050
14;2157934;2136902;2149765
15;2163727;2145518;2154444
16;2165407;2139786;2160460
17;2169139;2151460;2163945
18;2174079;2144278;2168111
19;2178025;2156126;2171782
20;2180168;2167878;2176713
21;2194489;2158358;2179629
22;2200422;2168943;2184181
23;2207082;2183563;2195071
24;2212236;2172061;2199199
25;2229781;2182812;2209205
26;2235713;2208434;2223700
27;2235713;2215990;2232868
28;2254649;2226159;2235634
29;2254649;2225565;2239793
30;2263156;2242381;2254422
31;2266798;2231377;2256498
32;2268902;2253853;2265213
33;2270470;2258423;2267543
34;2272792;2251008;2269046
35;2275824;2261206;2272086
36;2278122;2256492;2274322
37;2281180;2258959;2276487
38;2281821;2271309;2278869
39;2284832;2256986;2280648
40;2287051;2272638;2282536
41;2291182;2274485;2285608
42;2294769;2281677;2290801
43;2294946;2283491;2293553
44;2297701;2279442;2294259
45;2299268;2284825;2295447
46;2300706;2289490;2298069
47;2312490;2288469;2299714
48;2314442;2283530;2302938
49;2318070;2295154;2313449
50;2320023;2300862;2314365
51;2321592;2304544;2317553
52;2329394;2304446;2319686
53;2329394;2305825;2323032
54;2332310;2318277;2329227
55;2332310;2311277;2329575
56;2343960;2325347;2332121
57;2343960;2310023;2333854
58;2347616;2329837;2343615
59;2350994;2326754;2344143
60;2353845;2337218;2347991
61;2357500;2342282;2351959
62;2359671;2331361;2355118
63;2360897;2337129;2357943
64;2362986;2343787;2359759
65;2365136;2359660;2362170
66;2366785;2354816;2364634
67;2369300;2352945;2365057
68;2371323;2358759;2367449
69;2377138;2356926;2370878
70;2379201;2364626;2372506
71;2382029;2359753;2377590
72;2383719;2361821;2378962
73;2384228;2364960;2382180
74;2385603;2373194;2383506
75;2388908;2371164;2384196
76;2398156;2376464;2385383
77;2400984;2379197;2390009
78;2405828;2386252;2397871
79;2410734;2391263;2403000
80;2411245;2399242;2409865
81;2412766;2394189;2410243
82;2413277;2395461;2411205
83;2417899;2390349;2412597
84;2419787;2400222;2414715
85;2419974;2405283;2418314
86;2424047;2403794;2419387
87;2424876;2405405;2420173
88;2424876;2402228;2423886
89;2426152;2405245;2423943
90;2428552;2408629;2424806
91;2429509;2416699;2426378
92;2434212;2416217;2427980
93;2437312;2401468;2430122
94;2437415;2419224;2435477
95;2441712;2408677;2436855
96;2441942;2429718;2438017
97;2442733;2422991;2441183
98;2446360;2426612;2441838
99;2447331;2414721;2442637
100;2448237;2429558;2447042
