generation;best;worst;avarage
1;316082;-4101203;-54376
2;369050;-4100851;-133848
3;410715;-4100177;-120491
4;216943;-4127048;-89861
5;274383;-5155109;-124594
6;289659;-1470587;20932
7;275410;-1546255;27497
8;497848;-1218146;39460
9;322707;-355832;33716
10;467207;-4431568;-38805
11;258835;-710095;16237
12;398411;-690003;9488
13;300630;-1603483;-30044
14;353235;-2689633;-95612
15;294406;-1787612;-156321
16;527087;-1633728;-126569
17;519834;-2006811;-138999
18;898787;-3424917;-184751
19;514897;-3253395;-55395
20;903049;-1588753;-17255
21;1048763;-853778;66517
22;1056531;-1785412;11225
23;1174811;-1832768;79639
24;921071;-1780805;50428
25;918479;-1592985;64074
26;1098445;-1592985;100803
27;1113291;-990230;82445
28;1114741;-970006;85096
29;1113166;-2034733;49704
30;1267447;-2036535;44908
31;1267166;-2037512;-51954
32;1266382;-2032117;86734
33;1598508;-2033999;165612
34;1688580;-2025104;-31241
35;1773244;-2501675;-73816
36;1719991;-2020432;-64328
37;1718910;-2005713;-145680
38;1242453;-3327529;-109119
39;1241368;-2022166;-143765
40;1156501;-2121419;-128176
41;1156378;-2005945;-51063
42;357843;-1571400;-70945
43;1156133;-2542380;-12545
44;1156622;-2833244;-128847
45;1893456;-2999033;-118417
46;1887074;-2999441;-306134
47;1887969;-3022597;-208857
48;1149471;-3908604;-286046
49;1148838;-4201933;-318485
50;1131882;-4202345;-296667
51;1138512;-4201767;-242455
52;790530;-4276672;-217582
53;1556862;-4200368;-227168
54;1930301;-4189031;-155380
55;1557245;-3400523;-18799
56;1793750;-3400523;-58808
57;1798316;-3413515;-143186
58;1701181;-3433102;-188762
59;813570;-3452389;-224241
60;810938;-3452389;-275668
61;891778;-3596179;-252865
62;845408;-3785414;-285007
63;350741;-3910463;-338115
64;402604;-4280319;-388850
65;387216;-3752088;-387918
66;333400;-1855336;-173119
67;386091;-1902053;-250723
68;317191;-1891778;-288158
69;790409;-2432097;-328414
70;291618;-1915082;-204266
71;378596;-3870837;-333817
72;362864;-2025829;-162759
73;197945;-2026805;-188461
74;169022;-2441932;-18276
75;214863;-1450083;20074
76;282164;-2408019;-16558
77;313240;-1742637;-27477
78;212372;-1742237;-46091
79;244610;-1859213;-82850
80;249101;-1768461;-144038
81;254058;-1979955;-146714
82;271563;-3122921;-158630
83;286475;-2548912;-131763
84;236407;-2549207;-114697
85;220020;-1955598;-103122
86;225089;-1954186;-197758
87;212019;-2617543;-213012
88;273347;-2675094;-217497
89;266764;-3192618;-205848
90;262260;-3194380;-143916
91;269572;-2012681;-58577
92;318907;-4891934;-176657
93;369459;-3199155;-62895
94;264163;-3198290;-102100
95;269042;-4324601;-91172
96;277883;-4324431;-177354
97;273023;-3191408;-155487
98;289377;-3206392;-105636
99;294200;-1860717;-225589
100;255537;-1860940;-90091
