generation;best;worst;avarage
1;145172;-1161640;-77657
2;121385;-589036;-128796
3;134353;-796619;-133314
4;123827;-666746;-91648
5;140481;-748212;-87350
6;135633;-506729;-66487
7;122577;-615195;-70906
8;118082;-603965;-82423
9;134278;-607398;-63554
10;137541;-407194;-47859
11;124734;-657505;-51284
12;130347;-267494;-43084
13;132772;-311886;-42893
14;128988;-282345;-51696
15;140616;-667361;-51745
16;128487;-667706;-39019
17;137574;-809334;-21951
18;133125;-311837;5648
19;136704;-292444;-4303
20;136176;-370586;1867
21;126998;-195460;6664
22;143847;-187872;4628
23;132812;-186690;31586
24;129388;-279334;38332
25;143697;-215948;35923
26;130848;-214695;23160
27;135629;-751652;8705
28;130991;-986358;-11330
29;128184;-792445;1621
30;124808;-672217;-9849
31;129363;-213827;22930
32;126437;-217835;-3476
33;132446;-219812;-15781
34;124924;-218639;-23521
35;130616;-220007;-53591
36;130579;-995247;-101887
37;121841;-226736;-115492
38;122256;-221099;-103290
39;122585;-228327;-70428
40;127141;-226330;-67717
41;133864;-217927;-73863
42;124508;-218280;-95379
43;137576;-882627;-132193
44;127262;-217777;-138478
45;132095;-219869;-144969
46;134725;-220091;-128459
47;120783;-221586;-164721
48;115636;-230595;-173920
49;89080;-221092;-176928
50;122090;-565616;-169796
51;88821;-342786;-178409
52;88821;-229811;-179835
53;85318;-230602;-179401
54;-75023;-218877;-178111
55;90847;-218254;-169192
56;-77651;-217700;-177063
57;88553;-220551;-173695
58;-79260;-786244;-183234
59;115999;-230964;-168817
60;-60176;-289745;-173422
61;23566;-216937;-166957
62;24099;-804983;-188205
63;30250;-809299;-198014
64;-6740;-814881;-204185
65;118579;-909335;-207755
66;25781;-910725;-205290
67;801;-947642;-183371
68;30275;-883090;-166525
69;12890;-934950;-167387
70;-2825;-935088;-171680
71;30465;-941653;-187689
72;28785;-957511;-197535
73;16707;-956616;-195426
74;22871;-960123;-215276
75;26430;-999235;-236977
76;94840;-954432;-210370
77;98311;-941226;-202051
78;116266;-849144;-185960
79;11527;-885853;-188180
80;120290;-885853;-203207
81;123256;-930276;-259030
82;121958;-934799;-273136
83;26628;-1156856;-276235
84;8251;-1083573;-305807
85;7030;-1083573;-295258
86;28285;-1082872;-270487
87;6088;-1088165;-324776
88;-85186;-1086568;-406644
89;-137774;-1010793;-351343
90;-137095;-926409;-344792
91;-104417;-853642;-320685
92;93103;-873279;-330171
93;-127282;-873279;-364254
94;-103729;-947504;-375511
95;33816;-950745;-361909
96;-14112;-855642;-327448
97;-88776;-867384;-364486
98;-87490;-820269;-383130
99;31581;-848171;-388868
100;27332;-893825;-415779
