generation;best;worst;avarage
1;-1854047;-2069540;-1966565
2;-1813547;-2006000;-1897323
3;-1786192;-1910154;-1838684
4;-1780707;-1853341;-1802898
5;-1766818;-1805976;-1785830
6;-1757452;-1796905;-1777482
7;-1752059;-1798103;-1766242
8;-1747437;-1770953;-1754902
9;-1737707;-1752059;-1747915
10;-1731300;-1760455;-1743235
11;-1728217;-1749382;-1735158
12;-1724097;-1747211;-1730928
13;-1711105;-1734381;-1724936
14;-1708482;-1736010;-1720837
15;-1704117;-1728832;-1710943
16;-1697742;-1718714;-1705244
17;-1691658;-1724851;-1700741
18;-1690844;-1715409;-1694556
19;-1684294;-1713641;-1691983
20;-1681939;-1705021;-1690029
21;-1681939;-1696372;-1684173
22;-1678923;-1694387;-1682301
23;-1665641;-1685242;-1680116
24;-1663114;-1683489;-1674478
25;-1660629;-1683385;-1665866
26;-1655618;-1683407;-1663185
27;-1651857;-1677881;-1658289
28;-1650242;-1680532;-1655352
29;-1639815;-1668797;-1651354
30;-1631536;-1664849;-1647389
31;-1626229;-1653611;-1638064
32;-1610644;-1639382;-1627901
33;-1589720;-1642262;-1617767
34;-1587393;-1624584;-1604020
35;-1581838;-1600776;-1589186
36;-1575083;-1605678;-1585533
37;-1571512;-1602106;-1576681
38;-1568790;-1587409;-1575072
39;-1565807;-1586802;-1573804
40;-1560485;-1584773;-1569611
41;-1555168;-1587985;-1563317
42;-1550595;-1570212;-1556300
43;-1547431;-1564054;-1553879
44;-1547431;-1581020;-1550742
45;-1544827;-1558404;-1547826
46;-1541119;-1558147;-1547146
47;-1532545;-1567013;-1544127
48;-1523733;-1556438;-1538071
49;-1523099;-1549258;-1529622
50;-1518616;-1535657;-1523816
51;-1502426;-1537654;-1522225
52;-1498312;-1532510;-1514637
53;-1495454;-1515580;-1500762
54;-1494524;-1515991;-1502464
55;-1488353;-1510921;-1495157
56;-1484528;-1505160;-1492886
57;-1464997;-1517158;-1488835
58;-1464997;-1494246;-1479469
59;-1463592;-1488325;-1465858
60;-1459524;-1480132;-1465037
61;-1459524;-1483988;-1463780
62;-1452991;-1484848;-1460641
63;-1451274;-1469139;-1458496
64;-1447551;-1476673;-1453162
65;-1445834;-1461889;-1450510
66;-1444078;-1474604;-1447134
67;-1444078;-1460444;-1445876
68;-1436880;-1469733;-1444275
69;-1428873;-1448134;-1440569
70;-1427414;-1450736;-1433690
71;-1423840;-1447634;-1428836
72;-1415943;-1444788;-1426273
73;-1412413;-1451531;-1421643
74;-1408149;-1432784;-1415996
75;-1403903;-1444300;-1411538
76;-1403569;-1437531;-1407363
77;-1389825;-1425737;-1404306
78;-1388747;-1429629;-1401301
79;-1387776;-1392830;-1389127
80;-1387378;-1411140;-1388756
81;-1386407;-1409682;-1388415
82;-1384607;-1407428;-1388026
83;-1384273;-1407403;-1386637
84;-1382545;-1396344;-1384591
85;-1380977;-1400783;-1384377
86;-1377459;-1393229;-1382307
87;-1376228;-1403760;-1381266
88;-1369171;-1390136;-1377479
89;-1363114;-1402012;-1374643
90;-1352752;-1395410;-1368051
91;-1346706;-1372498;-1361673
92;-1343787;-1367524;-1348334
93;-1343787;-1365663;-1346603
94;-1341341;-1357813;-1344321
95;-1339779;-1359384;-1343871
96;-1335141;-1363622;-1342194
97;-1331068;-1355415;-1337551
98;-1326961;-1358255;-1333984
99;-1322953;-1352604;-1329980
100;-1322233;-1361828;-1325933
