generation;best;worst;avarage
1;2953;-8221;-1471
2;3901;-2899;644
3;4672;-3010;2257
4;5192;41;3285
5;6269;585;4733
6;7206;4159;5579
7;7323;2666;6404
8;8093;5349;7251
9;9232;5902;7527
10;9321;6172;8195
11;9499;6814;9178
12;9589;6172;9272
13;9589;7497;9496
14;9589;6528;9509
15;9858;7459;9511
16;10119;7131;9616
17;10166;7023;9808
18;10166;6984;10007
19;10481;7471;10095
20;10503;8175;10154
21;10835;8394;10396
22;10835;8402;10449
23;10855;8406;10704
24;10942;7571;10731
25;11170;8448;10776
26;11170;8153;10877
27;11170;9403;11064
28;11247;8099;11097
29;11247;9401;11122
30;11247;7942;11175
31;11299;8773;11155
32;11376;8957;11218
33;11573;8061;11223
34;11573;9388;11382
35;11573;8630;11442
36;12666;9012;11458
37;12802;8242;11637
38;12802;9802;12574
39;13023;10013;12742
40;13023;10726;12803
41;13023;11316;12965
42;13023;11284;12914
43;13023;11587;12967
44;13023;10633;12966
45;13091;10070;12851
46;13259;10213;12918
47;13259;11452;13074
48;13440;10264;13059
49;13536;10486;13140
50;13692;11302;13405
51;13788;11344;13484
52;13883;11908;13712
53;13883;11776;13794
54;13912;11854;13801
55;13913;11764;13811
56;13941;11637;13826
57;13941;10992;13845
58;13941;8534;13744
59;13941;10692;13772
60;13941;9757;13814
61;13945;10431;13841
62;14446;10264;13819
63;14497;11410;14008
64;17439;12340;14436
65;17731;10482;14980
66;17731;14825;17436
67;17846;13693;17597
68;18073;13131;17660
69;18073;15108;17818
70;18073;14802;17945
71;18193;12799;17885
72;18290;14015;18003
73;18410;15906;18140
74;18410;13075;18151
75;18515;14358;18262
76;18554;15996;18378
77;18744;14729;18394
78;18970;13531;18479
79;18970;15647;18648
80;18970;16366;18885
81;18970;14656;18803
82;18970;15701;18815
83;19142;16702;18907
84;19240;16490;18923
85;19240;15227;19017
86;19345;16213;19136
87;19345;15916;19052
88;19345;15763;19252
89;19345;13994;19189
90;19406;16740;19209
91;19406;14112;19212
92;19406;15563;19331
93;19406;18494;19379
94;19406;16152;19192
95;19406;15227;19151
96;19544;13732;19165
97;19578;14928;19296
98;19578;16043;19398
99;19599;17152;19489
100;19599;12772;19343
