generation;best;worst;avarage
1;2636;-116253;-42235
2;-8722;-145919;-55807
3;-11305;-132123;-58079
4;-1382;-137525;-58836
5;-6068;-103646;-54550
6;-5206;-127156;-58504
7;-3470;-126893;-53628
8;-15275;-133657;-55481
9;-13691;-162082;-66902
10;-19157;-136871;-64865
11;-8702;-128207;-63778
12;-11064;-132665;-62363
13;-5210;-136732;-61532
14;-8334;-134480;-53223
15;-12033;-123164;-49370
16;-12177;-134924;-55333
17;-13135;-91530;-45148
18;-5835;-116844;-43122
19;-13184;-116844;-42764
20;-7257;-88488;-34584
21;-9071;-120104;-37269
22;-10204;-92100;-36901
23;-11692;-111658;-37586
24;-10809;-112773;-36688
25;-8653;-113893;-37860
26;-8459;-112279;-35418
27;-8131;-112597;-36743
28;-8176;-108701;-36047
29;-8851;-120688;-34388
30;570;-128000;-33176
31;-3451;-127306;-39010
32;-4576;-153076;-37602
33;-11608;-130154;-41304
34;-12397;-129562;-42586
35;-10781;-219057;-43347
36;-7248;-218965;-43139
37;-5432;-218890;-38026
38;-6801;-168346;-38908
39;-5830;-156393;-36839
40;-9860;-167072;-42343
41;-8719;-167062;-50351
42;-9694;-167561;-43048
43;-9694;-166439;-42898
44;-5001;-166439;-40931
45;-3738;-167740;-38767
46;-14952;-166219;-38889
47;-14508;-154353;-39848
48;-11477;-165931;-38670
49;-13670;-138712;-42266
50;-6170;-150006;-37708
51;-4449;-148203;-36203
52;-3645;-146849;-36256
53;-4312;-85070;-33746
54;-4056;-80903;-33899
55;-6249;-81032;-33234
56;-6249;-101971;-35082
57;-2640;-140641;-32327
58;-5003;-141722;-31955
59;-5524;-69501;-27803
60;-5668;-137759;-30606
61;-6577;-139965;-33285
62;-8103;-69084;-31797
63;-11832;-69966;-31117
64;-5231;-81591;-33182
65;-13178;-52260;-31884
66;-10900;-45663;-31575
67;-11059;-45134;-29078
68;-11059;-45708;-27694
69;-10721;-46798;-28115
70;-9009;-41947;-28506
71;-8974;-69096;-29109
72;-8422;-41846;-27742
73;-8140;-56212;-25128
74;-8140;-104600;-26044
75;-9274;-91262;-24604
76;-5440;-48125;-23709
77;-4760;-50035;-23137
78;-10160;-59786;-25664
79;-6367;-60562;-25197
80;-6367;-54671;-25071
81;-6100;-60055;-25415
82;-8907;-50898;-28371
83;-6463;-50223;-28421
84;-7222;-50898;-26768
85;-5880;-41945;-25533
86;-6488;-116797;-27680
87;-4900;-113285;-29396
88;-7914;-59864;-26388
89;-8313;-108630;-24986
90;-7169;-41818;-23467
91;-7148;-41097;-25590
92;-1161;-42112;-26165
93;-7779;-42123;-25501
94;-2751;-42123;-24806
95;-1389;-42042;-23793
96;-1894;-42042;-22873
97;-1805;-37423;-22091
98;-3667;-37820;-23750
99;-9031;-37730;-25054
100;-6648;-68152;-25258
