generation;best;worst;avarage
1;-4150247;-5232108;-4623264
2;-4111781;-4764766;-4310955
3;-3972759;-4234896;-4140199
4;-3893179;-4183044;-4049361
5;-3858300;-4145701;-3958821
6;-3828366;-3980821;-3883297
7;-3795208;-3932503;-3852044
8;-3779865;-3948162;-3832557
9;-3769000;-3962535;-3813674
10;-3690878;-3857288;-3773947
11;-3685194;-3859383;-3750799
12;-3652792;-3769051;-3692806
13;-3624846;-3706344;-3677334
14;-3613546;-3716112;-3637627
15;-3598388;-3769162;-3621935
16;-3585136;-3669854;-3613004
17;-3558198;-3599651;-3587772
18;-3558198;-3590991;-3576170
19;-3545171;-3585806;-3562204
20;-3543242;-3579557;-3555982
21;-3528628;-3572185;-3545043
22;-3516596;-3560615;-3537482
23;-3502550;-3561826;-3522376
24;-3480818;-3592639;-3511590
25;-3473948;-3511769;-3495356
26;-3473504;-3504182;-3478898
27;-3463636;-3544442;-3475758
28;-3453234;-3483208;-3469526
29;-3439989;-3516006;-3459144
30;-3429394;-3469491;-3441330
31;-3367610;-3466412;-3434869
32;-3358683;-3444417;-3412876
33;-3338159;-3446492;-3366606
34;-3333287;-3410787;-3355810
35;-3330352;-3362530;-3340175
36;-3325833;-3384691;-3334277
37;-3310432;-3425752;-3333153
38;-3302978;-3391095;-3323240
39;-3299407;-3321585;-3304435
40;-3253660;-3325341;-3302322
41;-3241293;-3331054;-3289258
42;-3231305;-3280042;-3252450
43;-3223975;-3244477;-3233088
44;-3221331;-3245258;-3230013
45;-3211913;-3254325;-3222371
46;-3205848;-3263448;-3213213
47;-3198329;-3250796;-3210608
48;-3189116;-3227164;-3203934
49;-3182288;-3235998;-3196677
50;-3171531;-3209358;-3185101
51;-3163601;-3216898;-3174696
52;-3139791;-3202865;-3170531
53;-3135088;-3218818;-3159782
54;-3129142;-3211367;-3139919
55;-3124734;-3172470;-3134526
56;-3115027;-3172169;-3129136
57;-3108631;-3193979;-3123395
58;-3101929;-3187522;-3116783
59;-3093428;-3185119;-3110914
60;-3068091;-3169662;-3099713
61;-3057700;-3130351;-3082937
62;-3043994;-3188754;-3063492
63;-3033603;-3085549;-3050302
64;-3019548;-3068174;-3038233
65;-3007471;-3150366;-3033438
66;-3001559;-3019982;-3016114
67;-2989551;-3057994;-3005940
68;-2974559;-3040321;-2998980
69;-2947140;-3016440;-2984492
70;-2923571;-3001559;-2969374
71;-2915897;-2995814;-2945590
72;-2909503;-2956239;-2918516
73;-2897530;-2995361;-2911517
74;-2885580;-3001457;-2901351
75;-2877348;-2931930;-2889254
76;-2857469;-2976432;-2880781
77;-2837882;-2905798;-2864136
78;-2837882;-2869844;-2843231
79;-2834434;-2918706;-2839953
80;-2832906;-2898906;-2838725
81;-2821047;-2849895;-2834911
82;-2816071;-2874538;-2830809
83;-2810292;-2867929;-2821468
84;-2806844;-2842652;-2816080
85;-2768771;-2825949;-2809877
86;-2765322;-2846871;-2801607
87;-2762913;-2879273;-2769461
88;-2740637;-2787905;-2764596
89;-2737478;-2819876;-2760652
90;-2737478;-2786920;-2741581
91;-2734361;-2750086;-2737899
92;-2716517;-2777907;-2738094
93;-2712265;-2787700;-2733010
94;-2700028;-2774407;-2717960
95;-2700028;-2740388;-2703082
96;-2696994;-2743346;-2700926
97;-2696454;-2760783;-2700983
98;-2693331;-2731671;-2698122
99;-2685284;-2748285;-2698402
100;-2685284;-2740249;-2692517
