generation;best;worst;avarage
1;-2791;-14618;-8287
2;-2686;-13996;-8367
3;-3166;-16287;-8592
4;-2717;-16008;-8582
5;-1934;-13633;-8178
6;-1743;-14772;-8466
7;-1766;-14404;-8270
8;-2194;-14304;-8119
9;-669;-13616;-7441
10;-895;-13145;-7197
11;-2191;-14211;-7316
12;-1516;-12355;-7421
13;-288;-13595;-7784
14;-1382;-13747;-7156
15;-1555;-13212;-7523
16;-114;-12839;-7347
17;-359;-12799;-7540
18;-410;-12478;-7787
19;-644;-11848;-7459
20;-853;-12421;-6961
21;-1481;-12483;-6791
22;-1821;-12227;-7300
23;-2253;-14688;-7158
24;-2215;-12469;-7699
25;-2562;-14651;-8261
26;-2562;-14051;-8507
27;-1997;-13321;-8228
28;-1997;-13155;-8447
29;-2809;-14208;-8508
30;-1891;-13591;-8796
31;-2412;-14429;-8669
32;-2249;-15111;-8420
33;-747;-14803;-8271
34;-4045;-14927;-8812
35;-3979;-13088;-8488
36;-4199;-13110;-8656
37;-3882;-15052;-8576
38;-4045;-13909;-8183
39;-4345;-13743;-8498
40;-3793;-13912;-8321
41;-4154;-14289;-9030
42;-3249;-13706;-8463
43;-3804;-12813;-8644
44;-2695;-13554;-8597
45;-2917;-13129;-8314
46;-2240;-13552;-8578
47;-1590;-13826;-7866
48;-1770;-14300;-8328
49;-3370;-14155;-8408
50;-3313;-14411;-8520
51;-3313;-14675;-8830
52;-3912;-14040;-8490
53;-4699;-15724;-9364
54;-4312;-14166;-9500
55;-4226;-14087;-9531
56;-3857;-13848;-9316
57;-2666;-14177;-9329
58;-2995;-16300;-9676
59;-4844;-13926;-9545
60;-5214;-14200;-9841
61;-3160;-13741;-9483
62;-4017;-13250;-9636
63;-5142;-13631;-9884
64;-5450;-14114;-9905
65;-4927;-14249;-9608
66;-4927;-14399;-9245
67;-4623;-14118;-9431
68;-3351;-14843;-8984
69;-255;-13334;-8988
70;-3061;-12872;-9155
71;-3061;-13385;-8723
72;-2899;-13385;-8032
73;-3103;-13692;-8633
74;-274;-13857;-8096
75;-2058;-13133;-7728
76;187;-15405;-7988
77;-2191;-14601;-8042
78;-717;-16030;-7495
79;710;-13736;-7657
80;1546;-14116;-7534
81;1623;-14709;-7723
82;1035;-14162;-6913
83;197;-13090;-7008
84;1436;-12714;-6780
85;-80;-13956;-7104
86;-1436;-14168;-7036
87;-5;-13698;-6807
88;1555;-13509;-6430
89;467;-14692;-5511
90;736;-12749;-6242
91;1506;-13726;-6347
92;-603;-12538;-6637
93;1445;-13435;-6654
94;-1515;-11746;-6680
95;308;-14262;-7132
96;-2338;-14262;-7421
97;1132;-14840;-7203
98;-2028;-14498;-7058
99;-869;-14124;-7407
100;-1;-14276;-7086
