generation;best;worst;avarage
1;67083;-11382;16003
2;60455;-11250;14624
3;60455;-11506;14023
4;43487;-11358;11364
5;53998;-11358;11087
6;60817;-8229;12251
7;62266;-9344;9571
8;69416;-8220;11286
9;63136;-8220;14285
10;45789;-2980;12811
11;60527;-10285;12109
12;45789;-3349;11043
13;51431;-5648;12534
14;52344;-5648;13569
15;51924;-7440;11642
16;62822;-3846;12207
17;52278;-7542;10706
18;51924;-8698;8668
19;71401;-8698;10506
20;39737;-5924;9598
21;61249;-3595;11669
22;48527;-5009;10336
23;54644;-9478;9122
24;43616;-5427;9171
25;47748;-5427;7879
26;47633;-5427;8966
27;45702;-3582;8082
28;37488;-4262;7391
29;29738;-7551;6720
30;35979;-5765;6111
31;20944;-4859;5140
32;36639;-3272;4380
33;37965;-7937;4379
34;46832;-7698;5659
35;44638;-7698;5941
36;44492;-6519;6001
37;47364;-8223;4048
38;63250;-9106;5025
39;58791;-6224;5380
40;63710;-8471;9624
41;60452;-7686;7335
42;45452;-9486;6583
43;46585;-9486;7571
44;43500;-9920;6599
45;41012;-8001;6992
46;40799;-10407;7783
47;60826;-6875;9981
48;66160;-9922;7815
49;57795;-1385;8310
50;40749;-7652;7435
51;56652;-7652;6982
52;58674;-7652;7081
53;25261;-7500;6713
54;25858;-155;7918
55;43675;-648;8510
56;26855;-7333;8761
57;25528;-3940;8559
58;27408;-399;10158
59;41991;-208;9523
60;19909;-2905;9275
61;44943;-5889;11061
62;41317;-8593;10858
63;39429;-4648;11783
64;58656;-10513;13925
65;61915;-10513;17104
66;60948;-10513;16972
67;64620;-8793;16697
68;55578;-10513;16090
69;60695;-7276;19756
70;60695;-9203;19801
71;51488;-9203;15292
72;58097;-6586;15868
73;58755;-5401;17273
74;50716;-4417;14487
75;55332;-2950;14848
76;65179;-4608;13584
77;61887;-8064;18693
78;53906;-9276;18151
79;57843;-3071;18905
80;48709;-5371;21336
81;49646;-4169;25474
82;52838;-4819;26669
83;51903;-1824;27915
84;53671;-4307;26136
85;49694;-3921;25418
86;55194;-3381;22719
87;55168;-3381;23390
88;54488;-3381;22139
89;56561;-4060;22343
90;71961;-3198;21493
91;65603;-2872;22636
92;65603;-6317;21268
93;56561;-2363;21432
94;64607;-2134;19853
95;56655;-2036;18935
96;61107;-2560;19418
97;60554;-2442;18559
98;59402;-7227;19168
99;58602;-2672;17811
100;58602;-7833;15289
