generation;best;worst;avarage
1;75653;-7188349;-1289798
2;50790;-7790115;-1772988
3;55243;-11970813;-1871623
4;37804;-12023066;-1971226
5;36452;-6275582;-1615929
6;44524;-6275222;-1661914
7;52859;-6274224;-1505327
8;37656;-6291916;-1692523
9;47041;-6281940;-1672519
10;49327;-6281586;-1506211
11;46756;-6269660;-1659336
12;47943;-6269660;-1874913
13;45626;-6271164;-1816344
14;48874;-4828715;-1940263
15;48882;-4601876;-1818238
16;50197;-4602036;-1893825
17;6844;-4266843;-1769202
18;4283;-4600867;-1935286
19;34049;-4896091;-1842099
20;-2533;-2596023;-1762462
21;33942;-2639851;-1490415
22;39300;-3749345;-1532872
23;29257;-2664634;-1629075
24;46490;-4499305;-1606772
25;39753;-4618775;-1668198
26;-10171;-4213471;-1501121
27;4721;-4213471;-1421342
28;7811;-4213843;-1531975
29;18332;-2527274;-1629987
30;34073;-2539980;-1610624
31;39985;-3457024;-1505969
32;10490;-3681665;-1686964
33;28120;-3714197;-1495593
34;45271;-2573510;-1244660
35;8273;-2580395;-1466982
36;35438;-3359573;-1511020
37;-7698;-2667628;-1763916
38;-14950;-3342835;-1713099
39;41469;-2880314;-1637689
40;42566;-2876187;-1619682
41;21000;-2878207;-1671771
42;-17752;-3341507;-1445773
43;-16266;-3353881;-1281822
44;-9662;-2890995;-1439301
45;-9662;-2888915;-1443358
46;9046;-3119635;-1626784
47;-4833;-2604482;-1682316
48;14515;-2534703;-1521640
49;5221;-2663158;-1605975
50;-1458;-2663158;-1575778
51;-8240;-2593335;-1721252
52;-560;-2830993;-1657862
53;167;-3344766;-1877793
54;-730;-3347876;-1860751
55;-485;-2828320;-1747013
56;-485;-3356597;-1701455
57;-23188;-2674851;-1729752
58;-22836;-3317056;-1724226
59;-28432;-2836068;-1580079
60;-21348;-3355235;-1523722
61;-21780;-2574726;-1750885
62;-61253;-4037202;-2024784
63;-33208;-2540828;-1812953
64;-21334;-2558016;-1894537
65;-8124;-2558247;-1898389
66;14508;-7378858;-1907410
67;42971;-4366432;-2020694
68;24040;-2536786;-1904402
69;42784;-3715389;-1715042
70;34712;-4285872;-1900367
71;-23836;-3913636;-1842236
72;34399;-2570335;-1810200
73;-20308;-2577557;-1821345
74;25895;-2509840;-1821986
75;-31730;-2510203;-1779791
76;11789;-2515847;-1794856
77;27386;-5209331;-1811367
78;39077;-5209719;-1823121
79;2593;-2508898;-1662945
80;39007;-2508281;-1626240
81;6393;-2127038;-1707027
82;12034;-2115749;-1660950
83;-31132;-2507874;-1714899
84;30479;-2499546;-1799129
85;-2239;-2159223;-1771306
86;35470;-2825541;-1760362
87;36771;-2431382;-1708445
88;-32460;-2431669;-1786615
89;-28220;-2754060;-1741328
90;-24860;-2432032;-1777578
91;-22973;-2143290;-1600143
92;-23177;-2163402;-1675695
93;-28058;-2164446;-1677692
94;-27195;-2164446;-1634423
95;-22047;-2152446;-1387343
96;-7470;-2627917;-1357222
97;-22290;-2379008;-1281039
98;-21334;-4614338;-1234120
99;-15213;-2181709;-1056247
100;-11955;-2617585;-1131406
